"VideoId","TrendIndex","category_id"
"3CJQXuoKLYY",44,"22"
"Yd9CXKuimQY",17,"20"
"_A4tedL3uCw",9,"25"
"ysplV69sV80",5,"17"
"q20O0xznVyk",50,"22"
"LatFTfyCrJQ",13,"24"
"bJfsFEInKxw",45,"24"
"tiyKyj5mFzQ",42,"24"
"nUUr9KkERRc",31,"17"
"qDFjsMFojzs",23,"26"
"K6Qs0qnA6bE",17,"28"
"zpCZFJz9R3g",12,"17"
"u0ZoNDbt56c",11,"17"
"Chpu86FoLUc",4,"24"
"0opZqh_TprM",38,"24"
"Qahlmx2X4dk",35,"17"
"B2sAZ_h0ldY",50,"24"
"MO8RNejyqQM",48,"2"
"wFB-Ykh5oK0",32,"17"
"SW6ou_qOTVM",43,"17"
"-FiByDXGoBI",42,"20"
"-fVvYgvAvps",32,"17"
"E3tCHMagPOY",33,"10"
"mTy2zmkT2Ag",32,"17"
"u9fi_L5hB6U",27,"17"
"M_uYznMD8t0",29,"24"
"1-o42q7yjA4",25,"20"
"cZ-vtLaBByE",21,"10"
"g5m_OBaZXXc",20,"24"
"5A0hhsYVO1Q",7,"17"
"cSo21bfBohI",16,"17"
"_xizqd4CIZ4",12,"17"
"SCUXdRb5abU",12,"20"
"84lMEGPUmi4",9,"17"
"eJyBBUNcSs0",7,"17"
"OssqgVL5vOM",6,"17"
"Xrx-tnw6s3A",2,"17"
"fjwoczM62UQ",2,"10"
"DB2ux6Ca4UA",1,"17"
"vdLfeszExKM",33,"2"
"5cFTwQD7_m8",38,"2"
"RsSZpUrosx8",44,"10"
"Mmg7yiDpJNA",35,"24"
"KZSkiKra0tA",29,"10"
"JOoVK4sRd50",14,"10"
"7XvVaeVdPnQ",50,"22"
"uqDapQJ7O5M",28,"24"
"V_9gZoh0V-s",50,"17"
"XPiVGK_oPKE",25,"10"
"AoNpghxD_Qo",38,"17"
"9ZZEiDyzy04",44,"10"
"-othg4e-1cg",33,"24"
"AaDFgv24XhQ",29,"24"
"nUwTnJ8yFXY",14,"10"
"aVu2lYF321c",26,"10"
"kunaqTvQjTs",16,"2"
"OuAf0WkNlns",19,"10"
"UBWrSu7zPd8",14,"20"
"Pey7InVOILU",10,"22"
"wW7U1z1BUb8",5,"20"
"1YlsqNMzaL8",49,"26"
"00AI5xVR5SU",47,"17"
"OplU67FMw5U",39,"10"
"d0gxKewJZ9M",46,"10"
"XDCXT7C7lnk",37,"10"
"E-DhbWDMH9M",36,"17"
"iJdJ5It84Qo",38,"26"
"66Pq_6kNjzs",37,"24"
"5xd9lQ0G78Q",35,"10"
"ydipwkP8r_Y",27,"24"
"hz9_jkrrptU",34,"10"
"dANJlolAYyA",33,"10"
"jrhGD-763dE",28,"10"
"L2O-ZLKLhiw",31,"1"
"JX3OU5weSOQ",28,"20"
"c-ogahIlhWk",27,"24"
"EIzazUv2gtI",26,"24"
"QtXv8CDlQMw",24,"10"
"r0ZNOedp5s8",24,"24"
"eipC8LY0GRo",20,"10"
"mqv7rgMmT64",21,"24"
"zsVjD81mcVM",21,"24"
